contributor,bothunter,app,bodegha,rabbit
zzak,Human,False,Unknown,Human
GulajavaMinistudio,Human,False,Unknown,Bot
yklcs,Human,False,Unknown,Human
melroy89,Human,False,Unknown,Human
pulkit-30,Human,False,Human,Human
BridgeAR,Human,False,Human,Human
fhinkel,Human,False,Unknown,Human
eugeneo,Human,False,Unknown,Human
indutny,Human,False,Unknown,Human
github-actions[bot],Bot,True,Bot,Bot
kapouer,Human,False,Unknown,Human
wraithgar,Human,False,Human,Human
davidben,Human,False,Unknown,Human
yorkie,Human,False,Unknown,Human
ujh,Human,False,Unknown,Human
trivikr,Human,False,Unknown,Human
bmeck,Human,False,Human,Human
kuriyosh,Human,False,Unknown,Human
ExE-Boss,Human,False,Unknown,Human
hadeelshahin,Human,False,Unknown,Human
bengl,Human,False,Unknown,Human
RafaelGSS,Human,False,Human,Human
ShogunPanda,Human,False,Human,Human
shipujin,Human,False,Human,Human
nodejs-github-bot,Bot,False,Bot,Bot
H4ad,Human,False,Human,Human
fossamagna,Human,False,Unknown,Human
oleavr,Human,False,Unknown,Bot
arcanis,Human,False,Human,Human
marco-ippolito,Human,False,Human,Human
jasongin,Human,False,Unknown,Human
StefanStojanovic,Human,False,Human,Human
debadree25,Human,False,Human,Human
mhdawson,Human,False,Human,Human
panva,Human,False,Human,Human
sapics,Human,False,Unknown,Bot
mafintosh,Human,False,Unknown,Human
codecov-commenter,Bot,False,Unknown,Bot
malthe,Human,False,Human,Human
AndreasMadsen,Human,False,Unknown,Human
